,time,count,frame
0,2017-10-23 00:00:00.000000000,206,0
1,2017-10-23 00:00:24.164166666,402,1
2,2017-10-23 00:00:48.328333332,515,2
3,2017-10-23 00:01:12.492499998,591,3
4,2017-10-23 00:01:36.656666664,608,4
5,2017-10-23 00:02:00.820833330,612,5
6,2017-10-23 00:02:24.984999996,619,6
7,2017-10-23 00:02:49.149166662,624,7
8,2017-10-23 00:03:13.313333328,632,8
9,2017-10-23 00:03:37.477499994,632,9
10,2017-10-23 00:04:01.641666660,628,10
11,2017-10-23 00:04:25.805833326,627,11
12,2017-10-23 00:04:49.969999992,628,12
13,2017-10-23 00:05:14.134166658,633,13
14,2017-10-23 00:05:38.298333324,634,14
15,2017-10-23 00:06:02.462499990,634,15
16,2017-10-23 00:06:26.626666656,632,16
17,2017-10-23 00:06:50.790833322,635,17
18,2017-10-23 00:07:14.954999988,632,18
19,2017-10-23 00:07:39.119166654,634,19
20,2017-10-23 00:08:03.283333320,633,20
21,2017-10-23 00:08:27.447499986,632,21
22,2017-10-23 00:08:51.611666652,635,22
23,2017-10-23 00:09:15.775833318,631,23
24,2017-10-23 00:09:39.939999984,630,24
25,2017-10-23 00:10:04.104166650,643,25
26,2017-10-23 00:10:28.268333316,641,26
27,2017-10-23 00:10:52.432499982,641,27
28,2017-10-23 00:11:16.596666648,638,28
29,2017-10-23 00:11:40.760833314,639,29
30,2017-10-23 00:12:04.924999980,637,30
31,2017-10-23 00:12:29.089166646,633,31
32,2017-10-23 00:12:53.253333312,637,32
33,2017-10-23 00:13:17.417499978,630,33
34,2017-10-23 00:13:41.581666644,632,34
35,2017-10-23 00:14:05.745833310,630,35
36,2017-10-23 00:14:29.909999976,628,36
37,2017-10-23 00:14:54.074166642,627,37
38,2017-10-23 00:15:18.238333308,641,38
39,2017-10-23 00:15:42.402499974,639,39
40,2017-10-23 00:16:06.566666640,635,40
41,2017-10-23 00:16:30.730833306,633,41
42,2017-10-23 00:16:54.894999972,633,42
43,2017-10-23 00:17:19.059166638,635,43
44,2017-10-23 00:17:43.223333304,636,44
45,2017-10-23 00:18:07.387499970,635,45
46,2017-10-23 00:18:31.551666636,635,46
47,2017-10-23 00:18:55.715833302,635,47
48,2017-10-23 00:19:19.879999968,630,48
49,2017-10-23 00:19:44.044166634,630,49
50,2017-10-23 00:20:08.208333300,644,50
51,2017-10-23 00:20:32.372499966,641,51
52,2017-10-23 00:20:56.536666632,640,52
53,2017-10-23 00:21:20.700833298,640,53
54,2017-10-23 00:21:44.864999964,640,54
55,2017-10-23 00:22:09.029166630,632,55
56,2017-10-23 00:22:33.193333296,632,56
57,2017-10-23 00:22:57.357499962,635,57
58,2017-10-23 00:23:21.521666628,625,58
59,2017-10-23 00:23:45.685833294,626,59
60,2017-10-23 00:24:09.849999960,627,60
61,2017-10-23 00:24:34.014166626,622,61
62,2017-10-23 00:24:58.178333292,625,62
63,2017-10-23 00:25:22.342499958,626,63
64,2017-10-23 00:25:46.506666624,625,64
65,2017-10-23 00:26:10.670833290,623,65
66,2017-10-23 00:26:34.834999956,620,66
67,2017-10-23 00:26:58.999166622,621,67
68,2017-10-23 00:27:23.163333288,621,68
69,2017-10-23 00:27:47.327499954,620,69
70,2017-10-23 00:28:11.491666620,611,70
71,2017-10-23 00:28:35.655833286,613,71
72,2017-10-23 00:28:59.819999952,617,72
73,2017-10-23 00:29:23.984166618,608,73
74,2017-10-23 00:29:48.148333284,614,74
75,2017-10-23 00:30:12.312499950,640,75
76,2017-10-23 00:30:36.476666616,638,76
77,2017-10-23 00:31:00.640833282,642,77
78,2017-10-23 00:31:24.804999948,638,78
79,2017-10-23 00:31:48.969166614,639,79
80,2017-10-23 00:32:13.133333280,637,80
81,2017-10-23 00:32:37.297499946,636,81
82,2017-10-23 00:33:01.461666612,634,82
83,2017-10-23 00:33:25.625833278,630,83
84,2017-10-23 00:33:49.789999944,632,84
85,2017-10-23 00:34:13.954166610,630,85
86,2017-10-23 00:34:38.118333276,628,86
87,2017-10-23 00:35:02.282499942,641,87
88,2017-10-23 00:35:26.446666608,638,88
89,2017-10-23 00:35:50.610833274,640,89
90,2017-10-23 00:36:14.774999940,632,90
91,2017-10-23 00:36:38.939166606,632,91
92,2017-10-23 00:37:03.103333272,629,92
93,2017-10-23 00:37:27.267499938,629,93
94,2017-10-23 00:37:51.431666604,632,94
95,2017-10-23 00:38:15.595833270,628,95
